Название,Группа товара,Цена,Наличие
,"Армед 7F-10L - концентратор кислорода с выходом для ингаляций, 10 л/мин",58 500 ₽,на складе
Woodpecker UDSN2  ,встраиваемый ультразвуковой скалер с LED подсветкой наконечника,14 790 ₽,на складе
Yamahachi Blue Shine  ,"паста для финишной полировки пластмассы, 300 г",3 900 ₽,на складе
,Аверон АЭП 2.2 - аппарат для электрохимической полировки,49 900 ₽,на складе
Swidella Box  ,бокс (контейнер) для ручной проявки рентгеновских пленок,9 600 ₽,на складе
Dentsply Maillefer 25,"К (прямая, левая, правая) FSI-SLI - насадки к скалеру Cavitron (...",25 880 ₽,на складе
Elma Elmasonic S80  ,"ультразвуковая мойка, 9,4 л",113 850 ₽,Под заказ
Woodpecker GS3  ,"насадка для скалеров Woodpecker, для снятия зубных отложений (подход...",1 300 ₽,на складе
,ВХ-Тайфун НТС-300-05 - турбинный наконечник с фрикционным зажим бора и керамическими ...,4 160 ₽,на складе
W&H AM25 E RM  ,пневматический микромотор для угловых и прямых наконечников с внешни...,15 750 ₽,на складе
Tosi TX4148B  ,"угловой наконечник, 1:1",5 990 ₽,на складе
Vatech Smart Plus (Green Smart)  ,панорамный рентгеновский цифровой аппарат с функцие...,3 315 000 ₽,на складе
DTE D600 LED  ,автономный ультразвуковой скалер с фиброоптикой,42 900 ₽,Под заказ
NSK Nakanishi Varios 570  ,многофункциональный портативный ультразвуковой скалер (без...,62 570 ₽,на складе
Remeza ,"КМ-100.OLD15ТK - безмасляный компрессор для 4-x стоматологических установок, б...",135 610 ₽,на складе
W&H S9 L G  ,угловой хирургический наконечник с генератором света Mini-LED+ и внешни...,113 530 ₽,на складе
Ray RAYSCAN Symphony a SM3D  ,"томограф 3 в 1: ортопантомограф и цефалостат 26х24 см, ...",Свяжитесь с нами насчёт цены,на складе
Durr Dental XR 24 Pro  ,проявочная машина для интраоральных рентгеновских пленок,727 080 ₽,на складе
NSK Nakanishi TiMax X15  ,"угловой наконечник без оптики, 4:1",53 580 ₽,на складе
NSK Nakanishi SMax pico SL  ,турбинный наконечник с ультраминиатюрной головкой и опт...,25 020 ₽,на складе
W&H S8 R  ,"реципрокный хирургический прямой наконечник 3,25:1 для пилок R15, R20",80 510 ₽,на складе
Woodpecker P90  ,"насадка к скалеру UDS, для чистки имплантов",8 130 ₽,Под заказ
NSK Nakanishi G5  ,насадка к скалерам Varios для удаления зубного камня (для NSK/Sate...,4 200 ₽,в наличии
Amazing White UNIVERSAL Whitening Kit EXTRA MAXI 37%  ,набор для клинического отбелив...,5 900 ₽,на складе
Aria ,"МСВ 6/30 - безмасляный стоматологический поршневой компрессор, 125 л/мин",49 870 ₽,на складе
Medit Identica ,Т500 - стоматологический 3D-сканер,1 073 150 ₽,на складе
Steelco DS 500 SC  ,"машина для предстерилизационной обработки, мойки, дезинфекции и с...",551 500 ₽,на складе
Asa Dental ,Зеркало фотографическое для окклюзионных поверхностей для взрослых,3 050 ₽,на складе
Woodpecker GS4  ,"насадка для скалеров Woodpecker, для снятия зубных отложений (подход...",1 400 ₽,на складе
,Сонис Щетка 4-х рядная для шлифовального мотора (натуральная щетина),270 ₽,на складе
Dentium XSE 1L  ,"кюрета для синус-лифтинга, форма «зонтик»",9 160 ₽,на складе
Diplomat Dental Lux DL320  ,стоматологическая установка с нижней подачей инструментов...,1 021 590 ₽,на складе
Good Doctors Whicam II  ,"беспроводная интраоральная камера, комплектация II",70 850 ₽,на складе
W&H Assistina 3x3  ,полностью автоматический аппарат для чистки и смазки наконечников...,182 640 ₽,на складе
NSK Nakanishi Ultimate UMXLT  ,бесщеточный микромотор с кабелем (тип Torque),57 280 ₽,на складе
KaVo PiezoLED  ,пьезоэлектрический скалер,55 000 ₽,на складе
